"1","90","42","43","20.8797","82.0027","6.50299","202.936","rice","487.321"
"2","85","58","41","21.7705","80.3196","7.0381","226.656","rice","519.784"
"3","60","55","44","23.0045","82.3208","7.84021","263.964","rice","536.13"
"4","74","35","40","26.4911","80.1584","6.9804","242.864","rice","505.494"
"5","78","42","42","20.1302","81.6049","7.62847","262.717","rice","534.081"
"6","69","37","42","23.058","83.3701","7.07345","251.055","rice","512.557"
"7","69","55","38","22.7088","82.6394","5.70081","271.325","rice","544.374"
"8","94","53","40","20.2777","82.8941","5.71863","241.974","rice","537.865"
"9","89","54","38","24.5159","83.5352","6.68535","230.446","rice","526.183"
"10","68","58","38","23.224","83.0332","6.33625","221.209","rice","497.803"
"11","91","53","40","26.5272","81.4175","5.38617","264.615","rice","561.946"
"12","90","46","42","23.979","81.4506","7.50283","250.083","rice","541.016"
"13","78","58","44","26.8008","80.8868","5.10868","284.436","rice","577.233"
"14","93","56","36","24.015","82.0569","6.98435","185.277","rice","483.334"
"15","94","50","37","25.6659","80.6638","6.94802","209.587","rice","503.865"
"16","60","48","39","24.2821","80.3003","7.0423","231.086","rice","489.711"
"17","85","38","41","21.5871","82.7884","6.24905","276.655","rice","551.28"
"18","91","35","39","23.7939","80.4182","6.97086","206.261","rice","482.444"
"19","77","38","36","21.8653","80.1923","5.95393","224.555","rice","483.566"
"20","88","35","40","23.5794","83.5876","5.85393","291.299","rice","567.32"
"21","89","45","36","21.325","80.4748","6.44248","185.497","rice","463.74"
"22","76","40","43","25.1575","83.1171","5.07018","231.384","rice","503.729"
"23","67","59","41","21.9477","80.9738","6.01263","213.356","rice","489.29"
"24","83","41","43","21.0525","82.6784","6.25403","233.108","rice","510.093"
"25","98","47","37","23.4838","81.3326","7.37548","224.058","rice","518.25"
"26","66","53","41","25.0756","80.5239","7.77891","257.004","rice","530.382"
"27","97","59","43","26.3593","84.044","6.2865","271.359","rice","587.048"
"28","97","50","41","24.5292","80.545","7.07096","260.263","rice","560.409"
"29","60","49","44","20.7758","84.4977","6.24484","240.081","rice","504.599"
"30","84","51","35","22.3016","80.6442","6.0433","197.979","rice","476.968"
"31","73","57","41","21.4465","84.9438","5.82471","272.202","rice","555.417"
"32","92","35","40","22.1793","80.3313","6.35739","200.088","rice","475.956"
"33","85","37","39","24.5278","82.7369","6.36413","224.676","rice","499.305"
"34","98","53","38","20.2671","81.639","5.01451","270.442","rice","566.362"
"35","88","54","44","25.7354","83.8827","6.14941","233.132","rice","534.9"
